Sun Nov 14 20:12:05 EST 2021 | tT(mins):   0.86  |  f: 0 | RT(s):   5.123 | aRT(s):   5.191  maxRT(s):   5.123 | minRT(s):   5.123 
Sun Nov 14 20:12:12 EST 2021 | tT(mins):   0.205 |  f: 0 | RT(s):   7.84  | aRT(s):   6.172  maxRT(s):   7.84  | minRT(s):   5.123 
Sun Nov 14 20:12:19 EST 2021 | tT(mins):   0.322 |  f: 0 | RT(s):   6.921 | aRT(s):   6.443  maxRT(s):   7.84  | minRT(s):   5.123 
Sun Nov 14 20:12:27 EST 2021 | tT(mins):   0.449 |  f: 0 | RT(s):   7.560 | aRT(s):   6.739  maxRT(s):   7.560 | minRT(s):   5.123 
Sun Nov 14 20:12:34 EST 2021 | tT(mins):   0.574 |  f: 0 | RT(s):   7.447 | aRT(s):   6.895  maxRT(s):   7.560 | minRT(s):   5.123 
Sun Nov 14 20:12:37 EST 2021 | tT(mins):   0.623 |  f: 0 | RT(s):   2.839 | aRT(s):   6.231  maxRT(s):   7.560 | minRT(s):   2.839 
Sun Nov 14 20:12:42 EST 2021 | tT(mins):   0.705 |  f: 0 | RT(s):   4.853 | aRT(s):   6.44   maxRT(s):   7.560 | minRT(s):   2.839 
Sun Nov 14 20:12:47 EST 2021 | tT(mins):   0.783 |  f: 0 | RT(s):   4.651 | aRT(s):   5.879  maxRT(s):   7.560 | minRT(s):   2.839 
Sun Nov 14 20:12:52 EST 2021 | tT(mins):   0.874 |  f: 0 | RT(s):   5.374 | aRT(s):   5.830  maxRT(s):   7.560 | minRT(s):   2.839 
Sun Nov 14 20:12:57 EST 2021 | tT(mins):   0.954 |  f: 0 | RT(s):   4.728 | aRT(s):   5.727  maxRT(s):   7.560 | minRT(s):   2.839 
Sun Nov 14 20:13:03 EST 2021 | tT(mins):   1.65  |  f: 0 | RT(s):   6.603 | aRT(s):   5.812  maxRT(s):   7.560 | minRT(s):   2.839 
Sun Nov 14 20:13:11 EST 2021 | tT(mins):   1.188 |  f: 0 | RT(s):   7.281 | aRT(s):   5.940  maxRT(s):   7.560 | minRT(s):   2.839 
Sun Nov 14 20:13:22 EST 2021 | tT(mins):   1.370 |  f: 0 | RT(s):  10.884 | aRT(s):   6.326  maxRT(s):  10.884 | minRT(s):   2.839 
Sun Nov 14 20:13:32 EST 2021 | tT(mins):   1.543 |  f: 0 | RT(s):  10.277 | aRT(s):   6.613  maxRT(s):  10.884 | minRT(s):   2.839 
Sun Nov 14 20:13:39 EST 2021 | tT(mins):   1.655 |  f: 0 | RT(s):   6.667 | aRT(s):   6.621  maxRT(s):  10.884 | minRT(s):   2.839 
Sun Nov 14 20:13:43 EST 2021 | tT(mins):   1.720 |  f: 0 | RT(s):   3.841 | aRT(s):   6.452  maxRT(s):  10.884 | minRT(s):   2.839 
Sun Nov 14 20:13:54 EST 2021 | tT(mins):   1.913 |  f: 0 | RT(s):  11.504 | aRT(s):   6.753  maxRT(s):  11.504 | minRT(s):   2.839 
Sun Nov 14 20:14:02 EST 2021 | tT(mins):   2.33  |  f: 0 | RT(s):   7.114 | aRT(s):   6.777  maxRT(s):  11.504 | minRT(s):   2.839 
Sun Nov 14 20:14:06 EST 2021 | tT(mins):   2.108 |  f: 0 | RT(s):   4.481 | aRT(s):   6.659  maxRT(s):  11.504 | minRT(s):   2.839 
Sun Nov 14 20:14:16 EST 2021 | tT(mins):   2.268 |  f: 0 | RT(s):   9.463 | aRT(s):   6.804  maxRT(s):  11.504 | minRT(s):   2.839 
Sun Nov 14 20:14:24 EST 2021 | tT(mins):   2.399 |  f: 0 | RT(s):   7.827 | aRT(s):   6.855  maxRT(s):  11.504 | minRT(s):   2.839 
Sun Nov 14 20:14:27 EST 2021 | tT(mins):   2.458 |  f: 0 | RT(s):   3.457 | aRT(s):   6.704  maxRT(s):  11.504 | minRT(s):   2.839 
Sun Nov 14 20:14:30 EST 2021 | tT(mins):   2.515 |  f: 0 | RT(s):   3.381 | aRT(s):   6.562  maxRT(s):  11.504 | minRT(s):   2.839 
Sun Nov 14 20:14:37 EST 2021 | tT(mins):   2.624 |  f: 0 | RT(s):   6.480 | aRT(s):   6.561  maxRT(s):  11.504 | minRT(s):   2.839 
Sun Nov 14 20:14:42 EST 2021 | tT(mins):   2.705 |  f: 0 | RT(s):   4.776 | aRT(s):   6.492  maxRT(s):  11.504 | minRT(s):   2.839 
Sun Nov 14 20:14:53 EST 2021 | tT(mins):   2.887 |  f: 0 | RT(s):  10.857 | aRT(s):   6.663  maxRT(s):  11.504 | minRT(s):   2.839 
Sun Nov 14 20:15:05 EST 2021 | tT(mins):   3.96  |  f: 0 | RT(s):  12.483 | aRT(s):   6.881  maxRT(s):  12.483 | minRT(s):   2.839 
Sun Nov 14 20:15:13 EST 2021 | tT(mins):   3.220 |  f: 0 | RT(s):   7.369 | aRT(s):   6.901  maxRT(s):  12.483 | minRT(s):   2.839 
Sun Nov 14 20:15:19 EST 2021 | tT(mins):   3.331 |  f: 0 | RT(s):   6.609 | aRT(s):   6.893  maxRT(s):  12.483 | minRT(s):   2.839 
