Mon Oct 25 15:42:25 EDT 2021 | tT(mins):   0.131 |  f: 0 | RT(s):   7.856 | aRT(s):   7.893  maxRT(s):   7.856 | minRT(s):   7.856 
Mon Oct 25 15:42:28 EDT 2021 | tT(mins):   0.186 |  f: 0 | RT(s):   3.257 | aRT(s):   5.591  maxRT(s):   7.856 | minRT(s):   3.257 
Mon Oct 25 15:42:35 EDT 2021 | tT(mins):   0.300 |  f: 0 | RT(s):   6.842 | aRT(s):   6.18   maxRT(s):   7.856 | minRT(s):   3.257 
Mon Oct 25 15:42:41 EDT 2021 | tT(mins):   0.399 |  f: 0 | RT(s):   5.877 | aRT(s):   5.992  maxRT(s):   7.856 | minRT(s):   3.257 
Mon Oct 25 15:42:49 EDT 2021 | tT(mins):   0.530 |  f: 0 | RT(s):   7.800 | aRT(s):   6.360  maxRT(s):   7.856 | minRT(s):   3.257 
Mon Oct 25 15:42:57 EDT 2021 | tT(mins):   0.654 |  f: 0 | RT(s):   7.441 | aRT(s):   6.545  maxRT(s):   7.856 | minRT(s):   3.257 
Mon Oct 25 15:43:12 EDT 2021 | tT(mins):   0.907 |  f: 0 | RT(s):  15.143 | aRT(s):   7.778  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:43:22 EDT 2021 | tT(mins):   1.77  |  f: 0 | RT(s):  10.146 | aRT(s):   8.78   maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:43:25 EDT 2021 | tT(mins):   1.137 |  f: 0 | RT(s):   3.578 | aRT(s):   7.582  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:43:31 EDT 2021 | tT(mins):   1.224 |  f: 0 | RT(s):   5.220 | aRT(s):   7.349  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:43:39 EDT 2021 | tT(mins):   1.357 |  f: 0 | RT(s):   7.925 | aRT(s):   7.404  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:43:42 EDT 2021 | tT(mins):   1.413 |  f: 0 | RT(s):   3.333 | aRT(s):   7.67   maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:43:49 EDT 2021 | tT(mins):   1.523 |  f: 0 | RT(s):   6.557 | aRT(s):   7.31   maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:43:56 EDT 2021 | tT(mins):   1.641 |  f: 0 | RT(s):   7.66  | aRT(s):   7.35   maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:44:05 EDT 2021 | tT(mins):   1.797 |  f: 0 | RT(s):   9.334 | aRT(s):   7.191  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:44:10 EDT 2021 | tT(mins):   1.886 |  f: 0 | RT(s):   5.288 | aRT(s):   7.74   maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:44:20 EDT 2021 | tT(mins):   2.39  |  f: 0 | RT(s):   9.157 | aRT(s):   7.198  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:44:29 EDT 2021 | tT(mins):   2.189 |  f: 0 | RT(s):   8.979 | aRT(s):   7.299  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:44:34 EDT 2021 | tT(mins):   2.275 |  f: 0 | RT(s):   5.82  | aRT(s):   7.184  maxRT(s):  15.143 | minRT(s):   3.257 
Mon Oct 25 15:44:39 EDT 2021 | tT(mins):   2.357 |  f: 0 | RT(s):   4.894 | aRT(s):   7.71   maxRT(s):  15.143 | minRT(s):   3.257 
