Sun Nov 28 17:43:50 EST 2021 | tT(mins):   1.329 |  f: 0 | RT(s):  79.727 | aRT(s):  79.789  maxRT(s):  79.727 | minRT(s):  79.727 
Sun Nov 28 17:53:51 EST 2021 | tT(mins):  11.348 |  f: 1 | RT(s): 601.80  | aRT(s): 340.469  maxRT(s): 601.80  | minRT(s):  79.727 
Sun Nov 28 17:55:06 EST 2021 | tT(mins):  12.589 |  f: 1 | RT(s):  74.271 | aRT(s): 251.781  maxRT(s): 601.80  | minRT(s):  74.271 
Sun Nov 28 17:56:23 EST 2021 | tT(mins):  13.883 |  f: 1 | RT(s):  77.580 | aRT(s): 208.247  maxRT(s): 601.80  | minRT(s):  74.271 
Sun Nov 28 17:57:42 EST 2021 | tT(mins):  15.200 |  f: 1 | RT(s):  78.970 | aRT(s): 182.405  maxRT(s): 601.80  | minRT(s):  74.271 
Sun Nov 28 17:59:01 EST 2021 | tT(mins):  16.517 |  f: 1 | RT(s):  78.929 | aRT(s): 165.171  maxRT(s): 601.80  | minRT(s):  74.271 
Sun Nov 28 18:00:19 EST 2021 | tT(mins):  17.820 |  f: 1 | RT(s):  78.130 | aRT(s): 152.746  maxRT(s): 601.80  | minRT(s):  74.271 
Sun Nov 28 18:01:40 EST 2021 | tT(mins):  19.157 |  f: 1 | RT(s):  80.151 | aRT(s): 143.680  maxRT(s): 601.80  | minRT(s):  74.271 
Sun Nov 28 18:03:01 EST 2021 | tT(mins):  20.512 |  f: 1 | RT(s):  81.214 | aRT(s): 136.746  maxRT(s): 601.80  | minRT(s):  74.271 
Sun Nov 28 18:04:19 EST 2021 | tT(mins):  21.818 |  f: 1 | RT(s):  78.296 | aRT(s): 130.908  maxRT(s): 601.80  | minRT(s):  74.271 
Sun Nov 28 18:05:32 EST 2021 | tT(mins):  23.25  |  f: 1 | RT(s):  72.399 | aRT(s): 125.595  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:06:45 EST 2021 | tT(mins):  24.240 |  f: 1 | RT(s):  72.819 | aRT(s): 121.202  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:16:46 EST 2021 | tT(mins):  34.254 |  f: 2 | RT(s): 600.759 | aRT(s): 158.96   maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:18:07 EST 2021 | tT(mins):  35.606 |  f: 2 | RT(s):  80.909 | aRT(s): 152.597  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:19:21 EST 2021 | tT(mins):  36.850 |  f: 2 | RT(s):  74.575 | aRT(s): 147.400  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:20:47 EST 2021 | tT(mins):  38.281 |  f: 2 | RT(s):  85.806 | aRT(s): 143.554  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:22:07 EST 2021 | tT(mins):  39.611 |  f: 2 | RT(s):  79.727 | aRT(s): 139.803  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:23:23 EST 2021 | tT(mins):  40.884 |  f: 2 | RT(s):  76.316 | aRT(s): 136.280  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:33:24 EST 2021 | tT(mins):  50.901 |  f: 3 | RT(s): 600.983 | aRT(s): 160.741  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:34:44 EST 2021 | tT(mins):  52.237 |  f: 3 | RT(s):  79.934 | aRT(s): 156.711  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:36:28 EST 2021 | tT(mins):  53.965 |  f: 3 | RT(s): 103.655 | aRT(s): 154.188  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:46:29 EST 2021 | tT(mins):  63.979 |  f: 4 | RT(s): 600.756 | aRT(s): 174.489  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:47:49 EST 2021 | tT(mins):  65.307 |  f: 4 | RT(s):  79.546 | aRT(s): 170.367  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:49:10 EST 2021 | tT(mins):  66.662 |  f: 4 | RT(s):  81.232 | aRT(s): 166.656  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:50:33 EST 2021 | tT(mins):  68.39  |  f: 4 | RT(s):  82.559 | aRT(s): 163.294  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:51:48 EST 2021 | tT(mins):  69.294 |  f: 4 | RT(s):  75.239 | aRT(s): 159.910  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 18:53:11 EST 2021 | tT(mins):  70.671 |  f: 4 | RT(s):  82.553 | aRT(s): 157.48   maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 19:03:12 EST 2021 | tT(mins):  80.688 |  f: 5 | RT(s): 600.919 | aRT(s): 172.902  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 19:04:27 EST 2021 | tT(mins):  81.939 |  f: 5 | RT(s):  74.871 | aRT(s): 169.530  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 19:05:47 EST 2021 | tT(mins):  83.271 |  f: 5 | RT(s):  79.843 | aRT(s): 166.543  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 19:15:48 EST 2021 | tT(mins):  93.287 |  f: 6 | RT(s): 600.858 | aRT(s): 180.555  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 19:17:14 EST 2021 | tT(mins):  94.722 |  f: 6 | RT(s):  85.998 | aRT(s): 177.605  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 19:19:09 EST 2021 | tT(mins):  96.640 |  f: 6 | RT(s): 115.14  | aRT(s): 175.710  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 19:20:34 EST 2021 | tT(mins):  98.57  |  f: 6 | RT(s):  84.934 | aRT(s): 173.42   maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 19:22:07 EST 2021 | tT(mins):  99.615 |  f: 6 | RT(s):  93.391 | aRT(s): 170.768  maxRT(s): 601.80  | minRT(s):  72.399 
Sun Nov 28 19:32:09 EST 2021 | tT(mins): 109.636 |  f: 7 | RT(s): 601.222 | aRT(s): 182.727  maxRT(s): 601.222 | minRT(s):  72.399 
Sun Nov 28 19:33:37 EST 2021 | tT(mins): 111.106 |  f: 7 | RT(s):  87.946 | aRT(s): 180.172  maxRT(s): 601.222 | minRT(s):  72.399 
Sun Nov 28 19:34:56 EST 2021 | tT(mins): 112.426 |  f: 7 | RT(s):  79.147 | aRT(s): 177.515  maxRT(s): 601.222 | minRT(s):  72.399 
Sun Nov 28 19:36:21 EST 2021 | tT(mins): 113.846 |  f: 7 | RT(s):  85.128 | aRT(s): 175.148  maxRT(s): 601.222 | minRT(s):  72.399 
Sun Nov 28 19:46:25 EST 2021 | tT(mins): 123.897 |  f: 8 | RT(s): 602.870 | aRT(s): 185.845  maxRT(s): 602.870 | minRT(s):  72.399 
Sun Nov 28 19:56:35 EST 2021 | tT(mins): 134.52  |  f: 9 | RT(s): 607.802 | aRT(s): 196.174  maxRT(s): 607.802 | minRT(s):  72.399 
Sun Nov 28 20:06:44 EST 2021 | tT(mins): 144.211 |  f: 10 | RT(s): 607.591 | aRT(s): 206.15   maxRT(s): 607.802 | minRT(s):  72.399 
Sun Nov 28 20:16:53 EST 2021 | tT(mins): 154.343 |  f: 11 | RT(s): 606.335 | aRT(s): 215.363  maxRT(s): 607.802 | minRT(s):  72.399 
Sun Nov 28 20:27:03 EST 2021 | tT(mins): 164.523 |  f: 12 | RT(s): 608.503 | aRT(s): 224.349  maxRT(s): 608.503 | minRT(s):  72.399 
Sun Nov 28 20:28:53 EST 2021 | tT(mins): 166.380 |  f: 12 | RT(s): 108.952 | aRT(s): 221.840  maxRT(s): 608.503 | minRT(s):  72.399 
Sun Nov 28 20:30:12 EST 2021 | tT(mins): 167.703 |  f: 12 | RT(s):  79.293 | aRT(s): 218.743  maxRT(s): 608.503 | minRT(s):  72.399 
Sun Nov 28 20:31:34 EST 2021 | tT(mins): 169.66  |  f: 12 | RT(s):  81.736 | aRT(s): 215.829  maxRT(s): 608.503 | minRT(s):  72.399 
Sun Nov 28 20:32:51 EST 2021 | tT(mins): 170.345 |  f: 12 | RT(s):  76.636 | aRT(s): 212.931  maxRT(s): 608.503 | minRT(s):  72.399 
Sun Nov 28 20:34:13 EST 2021 | tT(mins): 171.706 |  f: 12 | RT(s):  81.603 | aRT(s): 210.252  maxRT(s): 608.503 | minRT(s):  72.399 
Sun Nov 28 20:44:18 EST 2021 | tT(mins): 181.764 |  f: 13 | RT(s): 603.356 | aRT(s): 218.117  maxRT(s): 608.503 | minRT(s):  72.399 
Sun Nov 28 20:54:29 EST 2021 | tT(mins): 191.951 |  f: 14 | RT(s): 608.696 | aRT(s): 225.824  maxRT(s): 608.696 | minRT(s):  72.399 
Sun Nov 28 20:59:19 EST 2021 | tT(mins): 196.814 |  f: 15 | RT(s): 289.411 | aRT(s): 227.93   maxRT(s): 608.696 | minRT(s):  72.399 
Sun Nov 28 21:00:29 EST 2021 | tT(mins): 197.984 |  f: 15 | RT(s):  70.130 | aRT(s): 224.133  maxRT(s): 608.696 | minRT(s):  70.130 
Sun Nov 28 21:02:02 EST 2021 | tT(mins): 199.528 |  f: 15 | RT(s):  92.585 | aRT(s): 221.698  maxRT(s): 608.696 | minRT(s):  70.130 
Sun Nov 28 21:12:07 EST 2021 | tT(mins): 209.579 |  f: 16 | RT(s): 602.958 | aRT(s): 228.631  maxRT(s): 608.696 | minRT(s):  70.130 
Sun Nov 28 21:22:17 EST 2021 | tT(mins): 219.757 |  f: 17 | RT(s): 608.485 | aRT(s): 235.454  maxRT(s): 608.696 | minRT(s):  70.130 
Sun Nov 28 21:32:26 EST 2021 | tT(mins): 229.926 |  f: 18 | RT(s): 608.177 | aRT(s): 242.28   maxRT(s): 608.696 | minRT(s):  70.130 
Sun Nov 28 21:34:13 EST 2021 | tT(mins): 231.719 |  f: 18 | RT(s): 107.294 | aRT(s): 239.709  maxRT(s): 608.696 | minRT(s):  70.130 
Sun Nov 28 21:44:20 EST 2021 | tT(mins): 241.799 |  f: 19 | RT(s): 604.515 | aRT(s): 245.898  maxRT(s): 608.696 | minRT(s):  70.130 
Sun Nov 28 21:54:31 EST 2021 | tT(mins): 251.984 |  f: 20 | RT(s): 608.913 | aRT(s): 251.984  maxRT(s): 608.913 | minRT(s):  70.130 
Sun Nov 28 22:04:55 EST 2021 | tT(mins): 262.246 |  f: 21 | RT(s): 613.447 | aRT(s): 257.947  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 22:15:04 EST 2021 | tT(mins): 272.531 |  f: 22 | RT(s): 606.411 | aRT(s): 263.740  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 22:25:10 EST 2021 | tT(mins): 282.666 |  f: 23 | RT(s): 605.400 | aRT(s): 269.205  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 22:26:35 EST 2021 | tT(mins): 284.76  |  f: 23 | RT(s):  84.295 | aRT(s): 266.321  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 22:27:57 EST 2021 | tT(mins): 285.451 |  f: 23 | RT(s):  82.469 | aRT(s): 263.494  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 22:29:20 EST 2021 | tT(mins): 286.833 |  f: 23 | RT(s):  82.804 | aRT(s): 260.757  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 22:39:25 EST 2021 | tT(mins): 296.885 |  f: 24 | RT(s): 603.49  | aRT(s): 265.867  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 22:49:35 EST 2021 | tT(mins): 307.60  |  f: 25 | RT(s): 608.294 | aRT(s): 270.935  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 22:52:59 EST 2021 | tT(mins): 310.487 |  f: 25 | RT(s): 203.349 | aRT(s): 269.988  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 22:54:16 EST 2021 | tT(mins): 311.755 |  f: 25 | RT(s):  76.34  | aRT(s): 267.218  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 23:04:17 EST 2021 | tT(mins): 321.773 |  f: 26 | RT(s): 601.1   | aRT(s): 271.921  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 23:05:37 EST 2021 | tT(mins): 323.108 |  f: 26 | RT(s):  79.962 | aRT(s): 269.257  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 23:07:04 EST 2021 | tT(mins): 324.569 |  f: 26 | RT(s):  87.622 | aRT(s): 266.769  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 23:17:08 EST 2021 | tT(mins): 334.610 |  f: 27 | RT(s): 602.332 | aRT(s): 271.306  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 23:27:16 EST 2021 | tT(mins): 344.746 |  f: 28 | RT(s): 607.16  | aRT(s): 275.797  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 23:37:29 EST 2021 | tT(mins): 354.960 |  f: 29 | RT(s): 610.676 | aRT(s): 280.232  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 23:47:37 EST 2021 | tT(mins): 365.85  |  f: 30 | RT(s): 606.149 | aRT(s): 284.481  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 23:57:43 EST 2021 | tT(mins): 375.215 |  f: 31 | RT(s): 605.395 | aRT(s): 288.627  maxRT(s): 613.447 | minRT(s):  70.130 
Sun Nov 28 23:59:19 EST 2021 | tT(mins): 376.814 |  f: 31 | RT(s):  95.688 | aRT(s): 286.188  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 00:09:24 EST 2021 | tT(mins): 386.871 |  f: 32 | RT(s): 603.233 | aRT(s): 290.153  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 00:19:30 EST 2021 | tT(mins): 396.998 |  f: 33 | RT(s): 605.629 | aRT(s): 294.72   maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 00:21:03 EST 2021 | tT(mins): 398.542 |  f: 33 | RT(s):  92.524 | aRT(s): 291.616  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 00:31:10 EST 2021 | tT(mins): 408.610 |  f: 34 | RT(s): 603.940 | aRT(s): 295.381  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 00:41:17 EST 2021 | tT(mins): 418.781 |  f: 35 | RT(s): 606.522 | aRT(s): 299.129  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 00:42:43 EST 2021 | tT(mins): 420.205 |  f: 35 | RT(s):  85.281 | aRT(s): 296.615  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 00:44:05 EST 2021 | tT(mins): 421.583 |  f: 35 | RT(s):  82.639 | aRT(s): 294.128  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 00:45:45 EST 2021 | tT(mins): 423.251 |  f: 35 | RT(s): 100.5   | aRT(s): 291.897  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 00:55:50 EST 2021 | tT(mins): 433.312 |  f: 36 | RT(s): 603.412 | aRT(s): 295.440  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 01:06:00 EST 2021 | tT(mins): 443.463 |  f: 37 | RT(s): 607.455 | aRT(s): 298.964  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 01:07:45 EST 2021 | tT(mins): 445.245 |  f: 37 | RT(s): 104.631 | aRT(s): 296.830  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 01:09:04 EST 2021 | tT(mins): 446.558 |  f: 37 | RT(s):  78.684 | aRT(s): 294.434  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 01:10:22 EST 2021 | tT(mins): 447.868 |  f: 37 | RT(s):  78.526 | aRT(s): 292.88   maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 01:11:39 EST 2021 | tT(mins): 449.137 |  f: 37 | RT(s):  76.108 | aRT(s): 289.766  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 01:21:43 EST 2021 | tT(mins): 459.187 |  f: 38 | RT(s): 602.836 | aRT(s): 293.98   maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 01:28:03 EST 2021 | tT(mins): 465.540 |  f: 39 | RT(s): 379.472 | aRT(s): 294.25   maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 01:38:07 EST 2021 | tT(mins): 475.605 |  f: 40 | RT(s): 603.541 | aRT(s): 297.253  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 01:48:14 EST 2021 | tT(mins): 485.698 |  f: 41 | RT(s): 604.990 | aRT(s): 300.432  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 01:58:21 EST 2021 | tT(mins): 495.838 |  f: 42 | RT(s): 606.328 | aRT(s): 303.574  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 02:08:22 EST 2021 | tT(mins): 505.857 |  f: 43 | RT(s): 600.997 | aRT(s): 306.580  maxRT(s): 613.447 | minRT(s):  70.130 
Mon Nov 29 02:10:21 EST 2021 | tT(mins): 507.849 |  f: 43 | RT(s): 119.375 | aRT(s): 304.709  maxRT(s): 613.447 | minRT(s):  70.130 
